Unnamed: 0,name,main_category,sub_category,ratings,no_of_ratings,discount_price,actual_price,image,link
0,Bosch Lightweight Electricals 504S,home improvement,electricals,3.8,1121,"₹6,122","₹11,310",https://example-cdn.local/img/433717.jpg,https://example.local/product/590885
1,Zebronics Heavy-Duty Keyboards & Mice 709Max,computers,keyboards & mice,3.6,780,"₹9,540","₹10,693",https://example-cdn.local/img/591912.jpg,https://example.local/product/238860
2,24 Mantra Compact Organic Foods 303S,grocery & gourmet foods,organic foods,3.9,1289,"₹1,934","₹2,199",https://example-cdn.local/img/702831.jpg,https://example.local/product/187503
3,Michelin Wireless Car Accessories 801Max,car & motorbike,car accessories,4.4,823,"₹4,169","₹5,016",https://example-cdn.local/img/555045.jpg,https://example.local/product/611866
4,Redmi Wireless Smartphones 373Max,mobiles,smartphones,4.3,3118,"₹10,522","₹16,439",https://example-cdn.local/img/127736.jpg,https://example.local/product/993398
5,Zebronics Ultra Storage Devices 475,computers,storage devices,4.1,2324,₹440,₹564,https://example-cdn.local/img/745351.jpg,https://example.local/product/245144
6,Lakme Portable Makeup 206Pro,beauty & health,makeup,3.1,1413,"₹1,017","₹1,519",https://example-cdn.local/img/965706.jpg,https://example.local/product/787805
7,Royal Canin Compact Pet Accessories 826S,pet supplies,pet accessories,4.5,955,"₹1,382","₹1,647",https://example-cdn.local/img/543485.jpg,https://example.local/product/747515
8,Pigeon Essential Home Decor 229Max,home & kitchen,home decor,4.7,2674,"₹2,462","₹2,969",https://example-cdn.local/img/193062.jpg,https://example.local/product/990714
9,Roadster Everyday Footwear 496,fashion,footwear,4.5,2816,"₹1,389","₹1,892",https://example-cdn.local/img/958394.jpg,https://example.local/product/398411
10,Cockatoo Classic Sportswear 352Pro,sports & fitness,sportswear,3.1,2422,₹141,₹219,https://example-cdn.local/img/693479.jpg,https://example.local/product/653177
11,Logitech Compact Storage Devices 659S,computers,storage devices,3.5,1682,₹409,₹498,https://example-cdn.local/img/579840.jpg,https://example.local/product/140419
12,Wonderchef Portable Kitchen Storage 694S,home & kitchen,kitchen storage,4.7,3331,"₹8,463","₹14,353",https://example-cdn.local/img/436291.jpg,https://example.local/product/104776
13,Bosch Wireless Microwaves 388,appliances,microwaves,3.4,1915,"₹2,481","₹4,521",https://example-cdn.local/img/256850.jpg,https://example.local/product/306690
14,Ambrane Classic Smartphones 764,mobiles,smartphones,3.8,3468,₹426,₹621,https://example-cdn.local/img/217951.jpg,https://example.local/product/557534
15,Samsonite Ultra Suitcases 105,luggage & bags,suitcases,3.4,2262,₹719,₹817,https://example-cdn.local/img/488871.jpg,https://example.local/product/520642
16,Drools Wireless Pet Accessories 642Pro,pet supplies,pet accessories,3.4,550,₹105,₹152,https://example-cdn.local/img/471313.jpg,https://example.local/product/346668
17,LG Lightweight Refrigerators 386Pro,appliances,refrigerators,3.8,1260,"₹6,398","₹6,618",https://example-cdn.local/img/240274.jpg,https://example.local/product/356247
