product_id,product_description,main_category,sub_category,estimated_revenue,total_sales,cumulative_revenue,cumulative_revenue_pct,revenue_rank,abc_tier
P002177,Samsung Heavy-Duty Smartphones 838X,mobiles,smartphones,759124080.0,9636,759124080.0,0.37,1,A - Top Revenue Drivers
P008721,Apple Everyday Mobile Accessories 782S,mobiles,mobile accessories,615920427.0,7649,1375044507.0,0.68,2,A - Top Revenue Drivers
P014781,OnePlus Essential Smartphones 504S,mobiles,smartphones,604535637.0,7141,1979580144.0,0.97,3,A - Top Revenue Drivers
P014150,OnePlus Pro Smartphones 514,mobiles,smartphones,593767125.0,7749,2573347269.0,1.26,4,A - Top Revenue Drivers
P000244,Apple Lightweight Power Banks 823S,mobiles,power banks,537402795.0,6495,3110750064.0,1.53,5,A - Top Revenue Drivers
P008933,Redmi Deluxe Power Banks 107S,mobiles,power banks,514536280.0,5848,3625286344.0,1.78,6,A - Top Revenue Drivers
P000814,Samsung Ultra Smartphones 524,mobiles,smartphones,482845650.0,7070,4108131994.0,2.02,7,A - Top Revenue Drivers
P017979,Redmi Eco-Friendly Mobile Accessories 723X,mobiles,mobile accessories,469743897.0,4739,4577875891.0,2.25,8,A - Top Revenue Drivers
P014119,HP Essential Keyboards & Mice 793S,computers,keyboards & mice,452073013.0,4453,5029948904.0,2.47,9,A - Top Revenue Drivers
P011885,Ambrane Lightweight Smartphones 694,mobiles,smartphones,442230516.0,7641,5472179420.0,2.69,10,A - Top Revenue Drivers
P013160,Portronics Compact Mobile Accessories 983X,mobiles,mobile accessories,387332736.0,5596,5859512156.0,2.88,11,A - Top Revenue Drivers
P005445,Ambrane Pro Smartphones 311Max,mobiles,smartphones,352650235.0,9115,6212162391.0,3.05,12,A - Top Revenue Drivers
P000429,Realme Premium Mobile Accessories 554,mobiles,mobile accessories,340648880.0,3146,6552811271.0,3.22,13,A - Top Revenue Drivers
P001493,Logitech Deluxe Laptops 888Pro,computers,laptops,333967848.0,4156,6886779119.0,3.38,14,A - Top Revenue Drivers
P002971,HP Premium Keyboards & Mice 504S,computers,keyboards & mice,332215466.0,3278,7218994585.0,3.55,15,A - Top Revenue Drivers
P013857,Portronics Wireless Power Banks 213S,mobiles,power banks,323928692.0,3158,7542923277.0,3.7,16,A - Top Revenue Drivers
P000145,Samsung Heavy-Duty Smartphones 688,mobiles,smartphones,323204250.0,3515,7866127527.0,3.86,17,A - Top Revenue Drivers
P014626,OnePlus Classic Smartphones 520X,mobiles,smartphones,322377888.0,4956,8188505415.0,4.02,18,A - Top Revenue Drivers
P013881,Portronics Deluxe Cases & Covers 511,mobiles,cases & covers,316113793.0,5981,8504619208.0,4.18,19,A - Top Revenue Drivers
P005975,HP Deluxe Storage Devices 340S,computers,storage devices,310117050.0,3735,8814736258.0,4.33,20,A - Top Revenue Drivers
P013247,OnePlus Ultra Power Banks 302S,mobiles,power banks,305180252.0,5161,9119916510.0,4.48,21,A - Top Revenue Drivers
P015482,Apple Ultra Cases & Covers 746,mobiles,cases & covers,298666485.0,4989,9418582995.0,4.63,22,A - Top Revenue Drivers
P001455,Redmi Advanced Smartphones 349,mobiles,smartphones,296609874.0,3971,9715192869.0,4.77,23,A - Top Revenue Drivers
P010380,Ambrane Deluxe Power Banks 535Pro,mobiles,power banks,296151219.0,4381,10011344088.0,4.92,24,A - Top Revenue Drivers
P016911,OnePlus Deluxe Cases & Covers 442S,mobiles,cases & covers,296073720.0,3594,10307417808.0,5.06,25,A - Top Revenue Drivers
P010593,Apple Portable Mobile Accessories 486,mobiles,mobile accessories,294805268.0,6469,10602223076.0,5.21,26,A - Top Revenue Drivers
P015567,Redmi Lightweight Mobile Accessories 432Max,mobiles,mobile accessories,294714368.0,4192,10896937444.0,5.35,27,A - Top Revenue Drivers
P010223,Logitech Smart Storage Devices 173X,computers,storage devices,294698068.0,3122,11191635512.0,5.5,28,A - Top Revenue Drivers
P006931,Dell Smart Laptops 180S,computers,laptops,290229759.0,4203,11481865271.0,5.64,29,A - Top Revenue Drivers
P005795,Realme Portable Cases & Covers 357Pro,mobiles,cases & covers,289055470.0,3190,11770920741.0,5.78,30,A - Top Revenue Drivers
P016168,Samsung Compact Cases & Covers 698,mobiles,cases & covers,281021780.0,3490,12051942521.0,5.92,31,A - Top Revenue Drivers
P006607,Samsung Pro Cases & Covers 525Max,mobiles,cases & covers,279024570.0,5058,12330967091.0,6.06,32,A - Top Revenue Drivers
P016813,Zebronics Deluxe Storage Devices 534S,computers,storage devices,278692050.0,3094,12609659141.0,6.19,33,A - Top Revenue Drivers
P017034,Redmi Smart Cases & Covers 245S,mobiles,cases & covers,276752000.0,4000,12886411141.0,6.33,34,A - Top Revenue Drivers
P014694,OnePlus Lightweight Cases & Covers 280Pro,mobiles,cases & covers,274443500.0,3650,13160854641.0,6.46,35,A - Top Revenue Drivers
P008634,HP Essential Monitors 975S,computers,monitors,272880069.0,4561,13433734710.0,6.6,36,A - Top Revenue Drivers
P012336,Redmi Essential Power Banks 917Pro,mobiles,power banks,269793724.0,3149,13703528434.0,6.73,37,A - Top Revenue Drivers
P016952,Apple Lightweight Power Banks 227Max,mobiles,power banks,266530105.0,7715,13970058539.0,6.86,38,A - Top Revenue Drivers
P006705,OnePlus Everyday Cases & Covers 631Pro,mobiles,cases & covers,263021660.0,7348,14233080199.0,6.99,39,A - Top Revenue Drivers
P009052,Apple Heavy-Duty Laptops 510X,computers,laptops,261848070.0,2838,14494928269.0,7.12,40,A - Top Revenue Drivers
P014219,OnePlus Pro Cases & Covers 343S,mobiles,cases & covers,260736777.0,3563,14755665046.0,7.25,41,A - Top Revenue Drivers
P010712,OnePlus Portable Smartphones 807S,mobiles,smartphones,260697690.0,2970,15016362736.0,7.37,42,A - Top Revenue Drivers
P013472,OnePlus Lightweight Cases & Covers 499X,mobiles,cases & covers,259131000.0,5081,15275493736.0,7.5,43,A - Top Revenue Drivers
P009736,Apple Wireless Power Banks 976S,mobiles,power banks,258504012.0,3579,15533997748.0,7.63,44,A - Top Revenue Drivers
P005183,Realme Pro Power Banks 424Max,mobiles,power banks,255935916.0,3846,15789933664.0,7.75,45,A - Top Revenue Drivers
P006506,Redmi Premium Mobile Accessories 112,mobiles,mobile accessories,255740186.0,3341,16045673850.0,7.88,46,A - Top Revenue Drivers
P017747,Dell Pro Keyboards & Mice 642S,computers,keyboards & mice,253051105.0,4973,16298724955.0,8.0,47,A - Top Revenue Drivers
P010983,OnePlus Eco-Friendly Smartphones 803X,mobiles,smartphones,250301793.0,5189,16549026748.0,8.13,48,A - Top Revenue Drivers
P017813,Redmi Eco-Friendly Cases & Covers 531X,mobiles,cases & covers,249093044.0,2642,16798119792.0,8.25,49,A - Top Revenue Drivers
P018446,HP Wireless Monitors 268S,computers,monitors,248988340.0,2452,17047108132.0,8.37,50,A - Top Revenue Drivers
P018839,Apple Compact Smartphones 879S,mobiles,smartphones,247605162.0,6933,17294713294.0,8.49,51,A - Top Revenue Drivers
