main_category,sub_category,product_count,avg_rating,avg_discount_pct,avg_actual_price,avg_discount_price,total_sales,avg_predicted_sales,total_estimated_revenue,revenue_share_pct,category_rank
mobiles,cases & covers,495,4.0,23.6,21730.46,16525.42,1857169,3523.7,20555091098.0,10.09,1
mobiles,smartphones,442,4.03,22.5,19921.66,15269.28,1642125,3465.1,19827867227.0,9.74,2
mobiles,power banks,492,3.95,22.5,20697.13,16001.36,1729617,3265.7,19367449196.0,9.51,3
mobiles,mobile accessories,492,3.97,22.3,19999.05,15318.6,1764481,3281.6,18567402588.0,9.12,4
computers,laptops,296,3.96,21.7,26506.3,20840.61,606301,1832.5,9102490927.0,4.47,5
computers,monitors,282,4.04,22.0,27043.87,21028.9,632615,2071.1,8796097705.0,4.32,6
computers,storage devices,274,3.99,23.3,22998.73,17609.24,633215,2095.2,7336361087.0,3.6,7
computers,keyboards & mice,258,3.97,22.5,23439.23,18218.21,541518,2018.8,6693064040.0,3.29,8
appliances,microwaves,226,4.11,23.3,25057.95,18995.51,452382,1775.5,6233880060.0,3.06,9
appliances,washing machines,250,3.95,24.0,24833.69,18987.55,440941,1548.1,6123515292.0,3.01,10
electronics,smart watches,338,3.99,23.0,9819.63,7486.75,1044061,2863.6,5914464143.0,2.9,11
appliances,air conditioners,240,4.01,21.8,23077.55,17699.47,418326,1571.4,5891294696.0,2.89,12
electronics,speakers,334,3.95,23.4,10199.99,7836.66,973367,2670.0,5780404410.0,2.84,13
appliances,refrigerators,228,4.01,22.1,23849.82,18698.03,419064,1654.9,5476115503.0,2.69,14
electronics,televisions,351,3.94,22.8,9781.29,7549.7,964912,2565.4,5320628256.0,2.61,15
electronics,cameras,313,3.96,22.0,9168.81,7170.18,901913,2639.7,4947969468.0,2.43,16
electronics,headphones,323,3.95,21.9,9256.36,7202.15,966587,2671.0,4721186561.0,2.32,17
home & kitchen,furniture,357,3.99,22.6,5305.79,4061.21,898322,2296.6,2464463263.0,1.21,18
home & kitchen,kitchen storage,320,3.97,21.9,4913.59,3823.54,791868,2318.9,2212178885.0,1.09,19
home & kitchen,home decor,330,3.92,22.5,4838.92,3737.27,775078,2233.3,2208046393.0,1.08,20
home & kitchen,cookware,324,3.97,22.6,4813.67,3718.49,797821,2256.6,2198447905.0,1.08,21
fashion,watches,454,3.94,22.1,2356.43,1846.54,1485294,2974.5,2148299938.0,1.05,22
watches,smart watches,273,3.96,21.7,9489.2,7557.65,439465,1458.8,2107493749.0,1.03,23
fashion,men's clothing,428,3.98,22.0,2429.87,1922.32,1348535,2936.2,2090034479.0,1.03,24
fashion,women's clothing,424,3.99,22.1,2375.4,1857.44,1387161,3029.6,2031991829.0,1.0,25
watches,watch accessories,285,4.0,21.1,7852.66,6203.78,470034,1516.2,1952113027.0,0.96,26
fashion,footwear,439,3.97,22.3,2331.95,1815.92,1418856,3044.9,1948465402.0,0.96,27
watches,analog watches,261,3.98,21.3,8512.15,6589.68,399546,1430.9,1943786060.0,0.95,28
sports & fitness,gym equipment,253,4.0,21.2,3322.28,2619.5,490728,1850.5,988718265.0,0.49,29
sports & fitness,yoga,264,3.97,22.7,3407.79,2637.48,517439,1761.6,969542853.0,0.48,30
sports & fitness,cycling,257,3.99,23.2,3652.46,2806.24,533539,1941.2,956476877.0,0.47,31
luggage & bags,wallets,315,4.01,23.3,2945.1,2274.97,585724,1702.8,946192120.0,0.46,32
luggage & bags,backpacks,322,3.99,22.1,2861.2,2236.34,572798,1681.0,943423127.0,0.46,33
luggage & bags,suitcases,293,3.99,23.3,2739.69,2114.7,550742,1740.0,868466034.0,0.43,34
beauty & health,skincare,367,4.03,21.7,1295.15,1024.16,1041486,2641.3,785862884.0,0.39,35
sports & fitness,sportswear,241,4.0,23.2,2951.6,2225.93,486946,1968.3,782064632.0,0.38,36
