analysis_type,segment,product_count,avg_sales,median_sales,avg_discount_pct,avg_rating,total_estimated_revenue
price_band,Budget (<₹500),4602,2936.1,2374.0,22.8,3.98,2674326644.0
price_band,Value (₹500-1.5k),4724,2551.9,2019.5,22.5,3.98,8238033102.0
price_band,Mid (₹1.5k-5k),4842,2097.3,1599.5,22.3,3.99,21933352061.0
price_band,Premium (₹5k-20k),3639,1860.1,1421.0,22.6,4.01,50460223661.0
price_band,Luxury (₹20k+),1873,1778.4,1386.0,22.9,4.0,120326971108.0
discount_effectiveness,No discount,3,707.0,,,3.8666666666666667,
discount_effectiveness,1-10%,3358,1788.5,,,4.014949374627755,
discount_effectiveness,11-20%,5975,2179.2,,,3.9833138075313808,
discount_effectiveness,21-30%,5152,2451.7,,,3.992663043478261,
discount_effectiveness,31-50%,4640,2697.0,,,3.978060344827586,
discount_effectiveness,50%+,552,2985.4,,,3.948731884057971,
