product_id,product_description,main_category,sub_category,price_band,ratings,is_high_rated,discount_price,actual_price,discount_percentage,total_sales,predicted_sales,prediction_error,prediction_error_pct,estimated_revenue,description_word_count,model_used
P000000,Bosch Lightweight Electricals 504S,home improvement,electricals,Premium (₹5k-20k),3.8,0,6122.0,11310.0,45.87,1121,942.0,-179.0,-16.0,6862762.0,4,XGBoost
P000001,Zebronics Heavy-Duty Keyboards & Mice 709Max,computers,keyboards & mice,Premium (₹5k-20k),3.6,0,9540.0,10693.0,10.78,780,891.0,111.0,14.2,7441200.0,6,XGBoost
P000002,24 Mantra Compact Organic Foods 303S,grocery & gourmet foods,organic foods,Mid (₹1.5k-5k),3.9,0,1934.0,2199.0,12.05,1289,1256.0,-33.0,-2.6,2492926.0,6,XGBoost
P000003,Michelin Wireless Car Accessories 801Max,car & motorbike,car accessories,Premium (₹5k-20k),4.4,1,4169.0,5016.0,16.89,823,1435.0,612.0,74.4,3431087.0,5,XGBoost
P000004,Redmi Wireless Smartphones 373Max,mobiles,smartphones,Premium (₹5k-20k),4.3,1,10522.0,16439.0,35.99,3118,3696.0,578.0,18.5,32807596.0,4,XGBoost
P000005,Zebronics Ultra Storage Devices 475,computers,storage devices,Value (₹500-1.5k),4.1,1,440.0,564.0,21.99,2324,3089.0,765.0,32.9,1022560.0,5,XGBoost
P000006,Lakme Portable Makeup 206Pro,beauty & health,makeup,Mid (₹1.5k-5k),3.1,0,1017.0,1519.0,33.05,1413,1500.0,87.0,6.2,1437021.0,4,XGBoost
P000007,Royal Canin Compact Pet Accessories 826S,pet supplies,pet accessories,Mid (₹1.5k-5k),4.5,1,1382.0,1647.0,16.09,955,1435.0,480.0,50.3,1319810.0,6,XGBoost
P000008,Pigeon Essential Home Decor 229Max,home & kitchen,home decor,Mid (₹1.5k-5k),4.7,1,2462.0,2969.0,17.08,2674,3088.0,414.0,15.5,6583388.0,5,XGBoost
P000009,Roadster Everyday Footwear 496,fashion,footwear,Mid (₹1.5k-5k),4.5,1,1389.0,1892.0,26.59,2816,4162.0,1346.0,47.8,3911424.0,4,XGBoost
P000010,Cockatoo Classic Sportswear 352Pro,sports & fitness,sportswear,Budget (<₹500),3.1,0,141.0,219.0,35.62,2422,1277.0,-1145.0,-47.3,341502.0,4,XGBoost
P000011,Logitech Compact Storage Devices 659S,computers,storage devices,Budget (<₹500),3.5,0,409.0,498.0,17.87,1682,1787.0,105.0,6.2,687938.0,5,XGBoost
P000012,Wonderchef Portable Kitchen Storage 694S,home & kitchen,kitchen storage,Premium (₹5k-20k),4.7,1,8463.0,14353.0,41.04,3331,3199.0,-132.0,-4.0,28190253.0,5,XGBoost
P000013,Bosch Wireless Microwaves 388,appliances,microwaves,Mid (₹1.5k-5k),3.4,0,2481.0,4521.0,45.12,1915,1647.0,-268.0,-14.0,4751115.0,4,XGBoost
P000014,Ambrane Classic Smartphones 764,mobiles,smartphones,Value (₹500-1.5k),3.8,0,426.0,621.0,31.4,3468,4142.0,674.0,19.4,1477368.0,4,XGBoost
P000015,Samsonite Ultra Suitcases 105,luggage & bags,suitcases,Value (₹500-1.5k),3.4,0,719.0,817.0,12.0,2262,1063.0,-1199.0,-53.0,1626378.0,4,XGBoost
P000016,Drools Wireless Pet Accessories 642Pro,pet supplies,pet accessories,Budget (<₹500),3.4,0,105.0,152.0,30.92,550,724.0,174.0,31.6,57750.0,5,XGBoost
P000017,LG Lightweight Refrigerators 386Pro,appliances,refrigerators,Premium (₹5k-20k),3.8,0,6398.0,6618.0,3.32,1260,1034.0,-226.0,-17.9,8061480.0,4,XGBoost
P000018,Redmi Lightweight Mobile Accessories 385,mobiles,mobile accessories,Budget (<₹500),4.6,1,265.0,339.0,21.83,8686,7173.0,-1513.0,-17.4,2301790.0,5,XGBoost
P000019,Apple Lightweight Laptops 195X,computers,laptops,Mid (₹1.5k-5k),4.1,1,923.0,1751.0,47.29,4626,3767.0,-859.0,-18.6,4269798.0,4,XGBoost
P000020,Sonata Lightweight Analog Watches 516Max,watches,analog watches,Premium (₹5k-20k),4.1,1,11549.0,14894.0,22.46,995,937.0,-58.0,-5.8,11491255.0,5,XGBoost
P000021,Milton Eco-Friendly Home Decor 703,home & kitchen,home decor,Budget (<₹500),3.4,0,457.0,490.0,6.73,2749,1349.0,-1400.0,-50.9,1256293.0,5,XGBoost
P000022,Rupa Publications Heavy-Duty Fiction 218,books,fiction,Budget (<₹500),4.4,1,413.0,491.0,15.89,1970,1526.0,-444.0,-22.5,813610.0,5,XGBoost
P000023,OnePlus Deluxe Cases & Covers 145X,mobiles,cases & covers,Luxury (₹20k+),3.4,0,82601.0,93783.0,11.92,1337,1520.0,183.0,13.7,110437537.0,6,XGBoost
P000024,Decathlon Everyday Cycling 691Max,sports & fitness,cycling,Premium (₹5k-20k),3.1,0,3579.0,6631.0,46.03,668,821.0,153.0,22.9,2390772.0,4,XGBoost
P000025,iBell Portable Paint Supplies 215Max,home improvement,paint supplies,Value (₹500-1.5k),4.5,1,624.0,711.0,12.24,1247,1873.0,626.0,50.2,778128.0,5,XGBoost
P000026,Fabindia Premium Footwear 716S,fashion,footwear,Mid (₹1.5k-5k),2.9,0,2568.0,3069.0,16.32,1169,675.0,-494.0,-42.3,3001992.0,4,XGBoost
P000027,Pigeon Eco-Friendly Home Decor 121Max,home & kitchen,home decor,Value (₹500-1.5k),4.3,1,511.0,700.0,27.0,4594,4127.0,-467.0,-10.2,2347534.0,5,XGBoost
P000028,LG Lightweight Refrigerators 644,appliances,refrigerators,Luxury (₹20k+),3.9,0,29488.0,40289.0,26.81,795,1483.0,688.0,86.5,23442960.0,4,XGBoost
P000029,Wildcraft Essential Wallets 177,luggage & bags,wallets,Mid (₹1.5k-5k),3.9,0,2923.0,4494.0,34.96,860,1123.0,263.0,30.6,2513780.0,4,XGBoost
P000030,Tata Portable Staples 182Max,grocery & gourmet foods,staples,Value (₹500-1.5k),3.0,0,422.0,543.0,22.28,690,879.0,189.0,27.4,291180.0,4,XGBoost
P000031,Mothercare Pro Infant Wear 515S,toys & baby products,infant wear,Budget (<₹500),3.8,0,86.0,180.0,52.22,3224,2737.0,-487.0,-15.1,277264.0,5,XGBoost
P000032,Whirlpool Essential Air Conditioners 385,appliances,air conditioners,Premium (₹5k-20k),3.1,0,9694.0,12545.0,22.73,581,611.0,30.0,5.2,5632214.0,5,XGBoost
P000033,Strauss Essential Cycling 573Pro,sports & fitness,cycling,Mid (₹1.5k-5k),4.6,1,3713.0,4328.0,14.21,1982,1715.0,-267.0,-13.5,7359166.0,4,XGBoost
P000034,Philips Deluxe Personal Care Appliances 400S,beauty & health,personal care appliances,Mid (₹1.5k-5k),4.2,1,1792.0,2280.0,21.4,3589,2092.0,-1497.0,-41.7,6431488.0,6,XGBoost
P000035,Classmate Wireless Storage & Organization 481Pro,office products,storage & organization,Budget (<₹500),3.7,0,186.0,355.0,47.61,1182,1083.0,-99.0,-8.4,219852.0,6,XGBoost
P000036,boAt Lightweight Televisions 990Max,electronics,televisions,Premium (₹5k-20k),3.5,0,4114.0,5305.0,22.45,2395,1482.0,-913.0,-38.1,9853030.0,4,XGBoost
P000037,Prestige Everyday Kitchen Storage 995S,home & kitchen,kitchen storage,Mid (₹1.5k-5k),3.1,0,1322.0,1649.0,19.83,464,999.0,535.0,115.3,613408.0,5,XGBoost
P000038,Rupa Publications Compact Children'S Books 533S,books,children's books,Value (₹500-1.5k),4.4,1,538.0,742.0,27.49,3055,1581.0,-1474.0,-48.2,1643590.0,6,XGBoost
P000039,Parker Pro Office Electronics 332X,office products,office electronics,Budget (<₹500),3.6,0,270.0,300.0,10.0,639,777.0,138.0,21.6,172530.0,5,XGBoost
P000040,Noise Everyday Cameras 747Pro,electronics,cameras,Premium (₹5k-20k),3.9,0,10021.0,11820.0,15.22,1458,1826.0,368.0,25.2,14610618.0,4,XGBoost
P000041,Nirlon Portable Furniture 104X,home & kitchen,furniture,Mid (₹1.5k-5k),5.0,1,1634.0,2533.0,35.49,3332,4504.0,1172.0,35.2,5444488.0,4,XGBoost
